Handle;Title;Body (HTML);Included in Online Store;Image Src;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant Price;Variant Compare At Price;Track Inventory;;;;;Allow Out of Stock Purchases;Available Quantity;SKU;Weight Value;Weight Unit;Dimension Length;Dimension Width;Dimension Height;Dimension Unit;Product Label Enable;Label Title;Label Start Date;Label End Date;SEO Title;SEO Description
product-code-7224;Fresh Cut Daisies and Blooms Arrangement;If a smile emoji was a flower and fruit arrangement, this would be it. Get ready for grins because this arrangement is ten times better than a text.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7224_5859_Fresh_Cut_Daisies_and_Blooms_Arrangement_s.webp;Option;One Size;;;;;$59.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Fresh Cut Daisies and Blooms Arrangement;If a smile emoji was a flower and fruit arrangement, this would be it. Get ready for grins because this arrangement is ten times better than a text.
product-code-7908;Mom's Chocolate-Covered Strawberries Platter;Diamonds were once a girl’s best friend — until strawberries entered the chat. Offer Mom a platter of chocolate-covered fruit, topped with pineapple letters, and show her that she is the real gem.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7908_6149_Moms_Chocolate_Covered_Strawberry_Platter_over_s.webp;Option;MOM;;;;;$89.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mom's Chocolate-Covered Strawberries Platter;Diamonds were once a girl’s best friend — until strawberries entered the chat. Offer Mom a platter of chocolate-covered fruit, topped with pineapple letter
product-code-7909;Love & Blooms Arrangement Gift Set;Love and sweetness are in bloom with our Love and Blooms Arrangement Gift Set. Give a gift sealed with a fresh dose of hearts, hugs, and kisses.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7909_Love_and_Blooms_Arrangement_Gift_Set_US.webp;Option;One Size;;;;;$62.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Love & Blooms Arrangement Gift Set;Love and sweetness are in bloom with our Love and Blooms Arrangement Gift Set. Give a gift sealed with a fresh dose of hearts, hugs, and kisses.
product-code-7953;Mother's Day Premium Bouquet;Nothing says Happy Mother's Day like a fresh flower delivery. Flourishing, feminine hues of purple bring this beautiful bouquet to life. Choose one of two vase designs to complete their gift. Actual vase may vary from the image shown.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7953_7245_Mothers_Day_Premium_Bouquet_vase_pitcher_s.webp;Option;Single with Janes Garden Pitcher;;;;;$99.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet;Nothing says Happy Mother's Day like a fresh flower delivery. Flourishing, feminine hues of purple bring this beautiful bouquet to life. Choose one of two 
product-code-7953;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7953_7245_Mothers_Day_Premium_Bouquet_vase_custom_floral_s.webp;;Single with Janes Garden Vase;;;;;$96.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet;Nothing says Happy Mother's Day like a fresh flower delivery. Flourishing, feminine hues of purple bring this beautiful bouquet to life. Choose one of two 
product-code-7953;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7953_7245_Mothers_Day_Premium_Bouquet_vase_custom_mosaic_s.webp;;Single with Modern Mosaic Vase;;;;;$96.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet;Nothing says Happy Mother's Day like a fresh flower delivery. Flourishing, feminine hues of purple bring this beautiful bouquet to life. Choose one of two 
product-code-7953;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7953_7245_Mothers_Day_Premium_Bouquet_angled_s.webp;;Single Bouquet;;;;;$74.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet;Nothing says Happy Mother's Day like a fresh flower delivery. Flourishing, feminine hues of purple bring this beautiful bouquet to life. Choose one of two 
product-code-7956;Mother's Day Premium Bouquet & Berries Gift Set;You really need to be better about calling, but in the meantime send our Mother's Day Premium Bouquet & Berries Gift set and all will be forgiven. Include a vase to complete their gift.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7956_6169_Mothers_Day_Premium_Bouquet_and_Berries_Gift_Set_vase_pitcher.webp;Option;Single with Janes Garden Pitcher;;;;;$151.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet & Berries Gift Set;You really need to be better about calling, but in the meantime send our Mother's Day Premium Bouquet & Berries Gift set and all will be forgiven. Include 
product-code-7956;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7956_6169_Mothers_Day_Premium_Bouquet_and_Berries_Gift_Set_vase_custom_mosaic.webp;;Single with Modern Mosaic Vase;;;;;$148.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet & Berries Gift Set;You really need to be better about calling, but in the meantime send our Mother's Day Premium Bouquet & Berries Gift set and all will be forgiven. Include 
product-code-7956;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7956_6169_Mothers_Day_Premium_Bouquet_and_Berries_Gift_Set_vase_custom_floral.webp;;Single with Janes Garden Vase;;;;;$148.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet & Berries Gift Set;You really need to be better about calling, but in the meantime send our Mother's Day Premium Bouquet & Berries Gift set and all will be forgiven. Include 
